,aiheat
2025-04-01 20:13:16.846942,1.9861697439003014
2025-04-02 20:13:16.846942,1.973250665584988
2025-04-03 20:13:16.846942,1.9603577318471859
2025-04-04 20:13:16.846942,1.9474909075388835
2025-04-05 20:13:16.846942,1.9346501574484156
2025-04-06 20:13:16.846942,1.9218354463012546
2025-04-07 20:13:16.846942,1.9090467387608858
2025-04-08 20:13:16.846942,1.8962839994295444
2025-04-09 20:13:16.846942,1.8835471928491105
2025-04-10 20:13:16.846942,1.8708362835018166
2025-04-11 20:13:16.846942,1.8581512358111185
2025-04-12 20:13:16.846942,1.8454920141424425
2025-04-13 20:13:16.846942,1.832858582804014
2025-04-14 20:13:16.846942,1.8202509060476264
2025-04-15 20:13:16.846942,1.8076689480694073
2025-04-16 20:13:16.846942,1.7951126730106286
2025-04-17 20:13:16.846942,1.782582044958456
2025-04-18 20:13:16.846942,1.7700770279467293
2025-04-19 20:13:16.846942,1.757597585956752
2025-04-20 20:13:16.846942,1.7451436829180151
2025-04-21 20:13:16.846942,1.732715282708981
2025-04-22 20:13:16.846942,1.7203123491578338
2025-04-23 20:13:16.846942,1.7079348460432344
2025-04-24 20:13:16.846942,1.695582737095065
2025-04-25 20:13:16.846942,1.6832559859951708
2025-04-26 20:13:16.846942,1.670954556378125
2025-04-27 20:13:16.846942,1.6586784118319036
2025-04-28 20:13:16.846942,1.6464275158986978
2025-04-29 20:13:16.846942,1.634201832075589
2025-04-30 20:13:16.846942,1.6220013238153015
2025-05-01 20:13:16.846942,1.6098259545268971
2025-05-02 20:13:16.846942,1.597675687576514
2025-05-03 20:13:16.846942,1.5855504862880971
2025-05-04 20:13:16.846942,1.5734503139440608
2025-05-05 20:13:16.846942,1.5613751337860249
2025-05-06 20:13:16.846942,1.549324909015547
2025-05-07 20:13:16.846942,1.537299602794747
2025-05-08 20:13:16.846942,1.5252991782470813
2025-05-09 20:13:16.846942,1.5133235984579734
2025-05-10 20:13:16.846942,1.5013728264755442
2025-05-11 20:13:16.846942,1.4894468253112794
2025-05-12 20:13:16.846942,1.4775455579407042
2025-05-13 20:13:16.846942,1.4656689873040798
2025-05-14 20:13:16.846942,1.4538170763070577
2025-05-15 20:13:16.846942,1.4419897878213541
2025-05-16 20:13:16.846942,1.4301870846854328
2025-05-17 20:13:16.846942,1.4184089297051465
2025-05-18 20:13:16.846942,1.4066552856543806
2025-05-19 20:13:16.846942,1.3949261152757881
2025-05-20 20:13:16.846942,1.3832213812813299
2025-05-21 20:13:16.846942,1.3715410463530056
2025-05-22 20:13:16.846942,1.3598850731434864
2025-05-23 20:13:16.846942,1.3482534242767052
2025-05-24 20:13:16.846942,1.336646062348555
2025-05-25 20:13:16.846942,1.3250629499274955
2025-05-26 20:13:16.846942,1.3135040495551769
2025-05-27 20:13:16.846942,1.3019693237470948
2025-05-28 20:13:16.846942,1.2904587349931684
2025-05-29 20:13:16.846942,1.2789722457584294
2025-05-30 20:13:16.846942,1.2675098184835507
2025-05-31 20:13:16.846942,1.25607141558553
2025-06-01 20:13:16.846942,1.2446569994582821
2025-06-02 20:13:16.846942,1.2332665324732222
2025-06-03 20:13:16.846942,1.221899976979887
2025-06-04 20:13:16.846942,1.2105572953065415
2025-06-05 20:13:16.846942,1.1992384497607562
2025-06-06 20:13:16.846942,1.1879434026300064
2025-06-07 20:13:16.846942,1.1766721161822598
2025-06-08 20:13:16.846942,1.1654245526665932
2025-06-09 20:13:16.846942,1.1542006743137032
2025-06-10 20:13:16.846942,1.1430004433365424
2025-06-11 20:13:16.846942,1.1318238219308978
2025-06-12 20:13:16.846942,1.1206707722759255
2025-06-13 20:13:16.846942,1.1095412565347507
2025-06-14 20:13:16.846942,1.098435236855005
2025-06-15 20:13:16.846942,1.087352675369429
2025-06-16 20:13:16.846942,1.07629353419637
2025-06-17 20:13:16.846942,1.0652577754404249
2025-06-18 20:13:16.846942,1.0542453611928944
2025-06-19 20:13:16.846942,1.0432562535323904
2025-06-20 20:13:16.846942,1.0322904145253766
2025-06-21 20:13:16.846942,1.0213478062267152
2025-06-22 20:13:16.846942,1.0104283906801426
2025-06-23 20:13:16.846942,0.9995321299189311
2025-06-24 20:13:16.846942,0.9886589859662811
2025-06-25 20:13:16.846942,0.9778089208359455
2025-06-26 20:13:16.846942,0.9669818965327072
2025-06-27 20:13:16.846942,0.956177875052963
2025-06-28 20:13:16.846942,0.9453968183851414
2025-06-29 20:13:16.846942,0.9346386885103007
2025-06-30 20:13:16.846942,0.9239034474026536
2025-07-01 20:13:16.846942,0.9131910570299844
2025-07-02 20:13:16.846942,0.9025014793542503
2025-07-03 20:13:16.846942,0.8918346763320317
2025-07-04 20:13:16.846942,0.8811906099150676
2025-07-05 20:13:16.846942,0.870569242050699
2025-07-06 20:13:16.846942,0.8599705346824423
2025-07-07 20:13:16.846942,0.8493944497504172
2025-07-08 20:13:16.846942,0.8388409491918435
2025-07-09 20:13:16.846942,0.8283099949415588
2025-07-10 20:13:16.846942,0.8178015489324533
2025-07-11 20:13:16.846942,0.8073155730959878
2025-07-12 20:13:16.846942,0.7968520293626694
2025-07-13 20:13:16.846942,0.7864108796624867
2025-07-14 20:13:16.846942,0.7759920859254138
2025-07-15 20:13:16.846942,0.7655956100818547
2025-07-16 20:13:16.846942,0.7552214140631364
2025-07-17 20:13:16.846942,0.7448694598019484
2025-07-18 20:13:16.846942,0.7345397092327939
2025-07-19 20:13:16.846942,0.7242321242924545
2025-07-20 20:13:16.846942,0.7139466669204453
2025-07-21 20:13:16.846942,0.7036832990594674
2025-07-22 20:13:16.846942,0.693441982655834
2025-07-23 20:13:16.846942,0.6832226796599302
2025-07-24 20:13:16.846942,0.6730253520266496
2025-07-25 20:13:16.846942,0.6628499617158277
2025-07-26 20:13:16.846942,0.6526964706926818
2025-07-27 20:13:16.846942,0.6425648409282438
2025-07-28 20:13:16.846942,0.6324550343997624
2025-07-29 20:13:16.846942,0.6223670130911653
2025-07-30 20:13:16.846942,0.612300738993486
2025-07-31 20:13:16.846942,0.6022561741052135
2025-08-01 20:13:16.846942,0.5922332804328048
2025-08-02 20:13:16.846942,0.5822320199910461
2025-08-03 20:13:16.846942,0.5722523548034465
2025-08-04 20:13:16.846942,0.5622942469027137
2025-08-05 20:13:16.846942,0.5523576583310837
2025-08-06 20:13:16.846942,0.5424425511407622
2025-08-07 20:13:16.846942,0.53254888739435
2025-08-08 20:13:16.846942,0.5226766291651516
2025-08-09 20:13:16.846942,0.5128257385377101
2025-08-10 20:13:16.846942,0.5029961776080437
2025-08-11 20:13:16.846942,0.4931879084841644
2025-08-12 20:13:16.846942,0.48340089328638
2025-08-13 20:13:16.846942,0.47363509414771954
2025-08-14 20:13:16.846942,0.46389047321429505
2025-08-15 20:13:16.846942,0.45416699264568694
2025-08-16 20:13:16.846942,0.4444646146153349
2025-08-17 20:13:16.846942,0.4347833013108885
2025-08-18 20:13:16.846942,0.4251230149345677
2025-08-19 20:13:16.846942,0.4154837177035922
2025-08-20 20:13:16.846942,0.40586537185044813
2025-08-21 20:13:16.846942,0.39626793962336215
2025-08-22 20:13:16.846942,0.3866913832865461
2025-08-23 20:13:16.846942,0.3771356651206614
